测线编号,测线位置x/海里,所在水深/米,深水侧覆盖半宽/海里,浅水侧覆盖半宽/海里,与前一条间距/海里,与前一条重叠率/%
1,1.9878,13.60,0.0133,0.0122,,
2,1.9640,14.75,0.0145,0.0132,0.0239,10.00
3,1.9381,16.01,0.0157,0.0143,0.0259,10.00
4,1.9100,17.37,0.0170,0.0155,0.0281,10.00
5,1.8795,18.85,0.0185,0.0169,0.0305,10.00
6,1.8464,20.46,0.0200,0.0183,0.0331,10.00
7,1.8105,22.20,0.0217,0.0199,0.0359,10.00
8,1.7715,24.09,0.0236,0.0216,0.0390,10.00
9,1.7292,26.14,0.0256,0.0234,0.0423,10.00
10,1.6833,28.37,0.0278,0.0254,0.0459,10.00
11,1.6335,30.78,0.0302,0.0275,0.0498,10.00
12,1.5795,33.40,0.0327,0.0299,0.0540,10.00
13,1.5208,36.24,0.0355,0.0324,0.0586,10.00
14,1.4572,39.33,0.0385,0.0352,0.0636,10.00
15,1.3882,42.68,0.0418,0.0382,0.0690,10.00
16,1.3133,46.31,0.0454,0.0414,0.0749,10.00
17,1.2320,50.25,0.0492,0.0450,0.0813,10.00
18,1.1437,54.53,0.0534,0.0488,0.0882,10.00
19,1.0480,59.18,0.0580,0.0529,0.0957,10.00
20,0.9441,64.21,0.0629,0.0574,0.1039,10.00
21,0.8314,69.68,0.0683,0.0623,0.1127,10.00
22,0.7091,75.61,0.0741,0.0676,0.1223,10.00
23,0.5764,82.05,0.0804,0.0734,0.1327,10.00
24,0.4323,89.03,0.0872,0.0797,0.1440,10.00
25,0.2760,96.61,0.0946,0.0864,0.1563,10.00
26,0.1064,104.84,0.1027,0.0938,0.1696,10.00
27,-0.0776,113.76,0.1114,0.1018,0.1840,10.00
28,-0.2773,123.45,0.1209,0.1104,0.1997,10.00
29,-0.4940,133.96,0.1312,0.1198,0.2167,10.00
30,-0.7292,145.36,0.1424,0.1300,0.2352,10.00
31,-0.9843,157.74,0.1545,0.1411,0.2552,10.00
32,-1.2612,171.17,0.1677,0.1531,0.2769,10.00
33,-1.5617,185.74,0.1820,0.1662,0.3005,10.00
34,-1.8877,201.55,0.1975,0.1803,0.3260,10.00
